Date,Open,High,Low,Close,Volume
2008-10-07,101.52,103.29,101.08,101.53,0
2008-10-08,101.52,101.69,98.61,99.1,0
2008-10-09,99.07,101.46,99.07,99.66,0
2008-10-10,99.6,100.82,97.91,100.72,0
2008-10-13,100.75,102.17,99.58,101.94,0
2008-10-14,101.99,103.07,101.51,102.13,0
2008-10-15,102.13,102.16,99.57,99.84,0
2008-10-16,99.83,101.75,99.28,101.66,0
2008-10-17,101.68,101.83,100.61,101.65,0
2008-10-20,101.41,102.42,101.37,102.12,0
2008-10-21,102.1,102.16,100.07,100.36,0
2008-10-22,100.35,100.57,97.22,97.95,0
2008-10-23,97.98,98.32,95.95,97.96,0
2008-10-24,97.96,97.98,90.92,94.28,0
2008-10-27,94.28,94.48,91.91,93.62,0
2008-10-28,92.83,99.31,92.66,99.3,0
2008-10-29,99.35,99.71,96.08,97.36,0
2008-10-30,97.36,99.13,97.23,98.59,0
2008-10-31,98.59,99.13,96.36,98.41,0
2008-11-03,98.41,99.64,98.23,99.1,0
2008-11-04,99.11,100.57,98.39,99.67,0
2008-11-05,99.69,99.93,97.88,97.92,0
2008-11-06,97.91,98.68,97.5,97.72,0
2008-11-07,97.71,98.68,96.77,98.21,0
2008-11-10,98.23,99.48,97.61,97.98,0
2008-11-11,97.99,98.29,97.32,97.63,0
2008-11-12,97.61,98.08,94.48,95.0,0
2008-11-13,95.0,98.28,94.53,97.67,0
2008-11-14,97.65,98.08,96.09,97.1,0
2008-11-17,96.4,96.49,96.23,96.24,0
2008-11-18,97.01,97.15,96.76,96.89,0
2008-11-19,97.01,97.15,95.68,95.9,0
2008-11-20,95.71,96.22,93.55,93.71,0
2008-11-21,95.89,95.98,95.89,95.9,0
2008-11-24,97.32,97.42,97.07,97.07,0
2008-11-25,95.24,95.37,95.22,95.28,0
2008-11-26,95.24,95.95,94.6,95.64,0
2008-11-27,95.65,95.72,95.01,95.25,0
2008-11-28,95.15,95.75,95.12,95.48,0
2008-12-01,95.53,95.66,93.06,93.18,0
2008-12-02,93.15,93.83,92.63,93.18,0
2008-12-03,93.17,93.62,92.54,93.29,0
2008-12-04,93.27,93.47,92.08,92.21,0
2008-12-05,92.2,93.38,91.59,92.79,0
2008-12-08,92.86,93.91,92.53,92.81,0
2008-12-09,92.8,93.07,91.94,92.1,0
2008-12-10,92.11,93.03,92.07,92.73,0
2008-12-11,92.74,92.88,91.17,91.4,0
2008-12-12,91.45,91.86,88.22,91.09,0
2008-12-15,91.1,91.98,90.25,90.64,0
2008-12-16,90.63,90.74,88.63,89.04,0
2008-12-17,89.01,89.22,87.14,87.2,0
2008-12-18,87.22,90.03,87.19,89.41,0
2008-12-19,89.4,89.85,88.43,89.34,0
